temperature,humidity,weather_description,time_seconds
31.0,73.0,Haze,55153
30.0,74.0,Haze,55753
30.0,72.0,Haze,56354
30.0,73.0,Haze,56955
30.0,74.0,Haze,57555
30.0,74.0,Haze,60636
30.0,74.0,Haze,61236
30.0,74.0,Haze,61837
30.0,75.0,Haze,62438
30.0,75.0,Haze,63038
30.0,75.0,Haze,63639
29.0,76.0,Haze,64239
29.0,76.0,Haze,64840
29.0,76.0,Haze,65440
29.0,76.0,Haze,66041
29.0,76.0,Haze,66642
29.0,76.0,Haze,67242
29.0,76.0,Fog,67843
29.0,76.0,Fog,68443
29.0,76.0,Fog,69044
29.0,76.0,Fog,69644
29.0,76.0,Fog,70245
29.0,76.0,Fog,70845
29.0,76.0,Fog,71446
29.0,76.0,Fog,72047
29.0,76.0,Fog,72647
29.0,77.0,Fog,73248
29.0,78.0,Fog,73848
29.0,78.0,Fog,74449
29.0,79.0,Fog,75050
29.0,79.0,Fog,75650
29.0,79.0,Fog,76251
29.0,79.0,Fog,76851
29.0,79.0,Fog,77452
29.0,79.0,Fog,78052
29.0,79.0,Fog,78653
29.0,80.0,Fog,79254
29.0,80.0,Fog,79854
29.0,80.0,Fog,80455
29.0,80.0,Fog,81055
29.0,80.0,Fog,81656
29.0,80.0,Fog,82257
29.0,80.0,Fog,82857
29.0,80.0,Fog,83458
29.0,80.0,Fog,84058
29.0,80.0,Fog,84659
29.0,80.0,Fog,85260
29.0,80.0,Fog,85860
29.0,80.0,Fog,61
29.0,80.0,Fog,661
29.0,80.0,Fog,1262
29.0,80.0,Fog,1864
29.0,80.0,Fog,2465
29.0,80.0,Fog,3065
29.0,80.0,Fog,3666
29.0,80.0,Fog,4267
29.0,80.0,Fog,4867
29.0,80.0,Fog,5468
29.0,80.0,Fog,6068
29.0,80.0,Fog,6669
29.0,80.0,Fog,7269
29.0,80.0,Fog,7870
29.0,80.0,Fog,8471
28.0,80.0,Fog,9071
28.0,80.0,Fog,9672
28.0,80.0,Fog,10272
28.0,84.0,Fog,24607
28.0,84.0,Fog,25207
28.0,84.0,Fog,25808
28.0,84.0,Fog,26409
28.0,84.0,Fog,27009
28.0,84.0,Fog,27610
28.0,84.0,Fog,28210
28.0,85.0,Fog,28811
28.0,84.0,Fog,29412
28.0,84.0,Fog,30012
28.0,84.0,Fog,30613
28.0,84.0,Fog,31213
28.0,84.0,Fog,31814
28.0,83.0,Fog,32415
28.0,83.0,Fog,33015
28.0,83.0,Fog,33616
29.0,80.0,Fog,34217
29.0,80.0,Fog,34817
29.0,80.0,Fog,35418
29.0,80.0,Fog,36018
29.0,80.0,Fog,36619
29.0,80.0,Fog,37220
29.0,80.0,Fog,37820
29.0,79.0,Fog,38421
29.0,79.0,Fog,39022
30.0,77.0,Fog,39622
30.0,77.0,Fog,40223
30.0,77.0,Haze,40823
30.0,76.0,Haze,41789
30.0,76.0,Haze,42390
30.0,76.0,Haze,42991
30.0,75.0,Haze,43591
30.0,75.0,Haze,44192
30.0,73.0,Haze,44793
30.0,71.0,Haze,45393
30.0,72.0,Haze,45994
30.0,72.0,Haze,46595
30.0,71.0,Haze,47195
30.0,71.0,Haze,47796
30.0,69.0,Haze,48396
31.0,71.0,Haze,48619
30.0,70.0,Haze,49141
30.0,70.0,Haze,49742
31.0,70.0,Haze,50342
30.0,70.0,Haze,50943
31.0,68.0,Haze,51544
31.0,71.0,Haze,52144
31.0,70.0,Haze,52745
31.0,71.0,Haze,53345
30.0,71.0,Haze,53946
31.0,71.0,Haze,54547
30.0,73.0,Haze,55147
30.0,71.0,Haze,55748
29.0,76.0,Fog,65797
29.0,76.0,Fog,66397
29.0,76.0,Fog,66998
29.0,76.0,Fog,67599
29.0,75.0,Fog,68199
29.0,75.0,Fog,68800
29.0,75.0,Fog,69401
29.0,76.0,Fog,70001
29.0,76.0,Fog,70602
29.0,77.0,Fog,71203
29.0,78.0,Fog,71803
29.0,78.0,Fog,72404
29.0,79.0,Fog,73005
29.0,79.0,Fog,73605
29.0,80.0,Fog,74206
29.0,80.0,Fog,74807
29.0,80.0,Fog,75407
29.0,80.0,Fog,76008
29.0,80.0,Fog,76609
29.0,80.0,Fog,77210
29.0,80.0,Fog,77810
29.0,80.0,Fog,78411
29.0,80.0,Fog,79012
29.0,80.0,Fog,79612
29.0,80.0,Fog,80213
29.0,82.0,Fog,85827
29.0,82.0,Fog,28
29.0,81.0,Fog,630
29.0,83.0,Fog,1231
29.0,83.0,Fog,1832
29.0,84.0,Fog,2434
29.0,84.0,Fog,3036
29.0,84.0,Fog,3637
28.0,84.0,Fog,4238
28.0,84.0,Fog,4839
28.0,84.0,Fog,5440
28.0,84.0,Fog,6041
28.0,84.0,Fog,6642
28.0,84.0,Fog,7243
28.0,84.0,Fog,7844
28.0,84.0,Fog,8445
28.0,84.0,Fog,9046
28.0,84.0,Fog,9647
28.0,84.0,Fog,10248
28.0,84.0,Fog,10849
28.0,84.0,Fog,11449
28.0,84.0,Fog,12050
28.0,84.0,Fog,12651
28.0,84.0,Fog,13253
28.0,84.0,Fog,13854
28.0,84.0,Fog,14454
28.0,84.0,Fog,15055
28.0,84.0,Fog,15656
28.0,84.0,Fog,16257
28.0,84.0,Fog,16858
28.0,84.0,Fog,17459
28.0,84.0,Fog,18060
28.0,84.0,Fog,18661
28.0,84.0,Fog,19262
28.0,84.0,Fog,19863
28.0,84.0,Fog,20464
28.0,84.0,Fog,21065
28.0,84.0,Fog,21666
28.0,84.0,Fog,22267
28.0,84.0,Fog,22868
28.0,84.0,Fog,23469
28.0,84.0,Fog,24070
28.0,83.0,Fog,24671
28.0,83.0,Fog,25272
28.0,83.0,Fog,25873
28.0,83.0,Fog,26474
28.0,83.0,Fog,27075
28.0,83.0,Fog,27676
28.0,83.0,Fog,28277
28.0,83.0,Fog,28878
28.0,83.0,Fog,29479
29.0,82.0,Fog,35266
29.0,80.0,Fog,35867
29.0,80.0,Fog,36468
29.0,80.0,Fog,37069
29.0,80.0,Fog,37670
29.0,80.0,Fog,38271
29.0,79.0,Fog,38873
29.0,77.0,Fog,39474
29.0,76.0,Fog,40076
29.0,76.0,Haze,40677
29.0,76.0,Haze,41278
29.0,74.0,Haze,41879
29.0,74.0,Haze,42480
29.0,75.0,Haze,43081
29.0,80.0,Fog,66298
29.0,80.0,Fog,66899
29.0,80.0,Fog,67500
29.0,80.0,Fog,68101
29.0,81.0,Fog,68702
29.0,81.0,Fog,69303
29.0,81.0,Scattered clouds,69904
29.0,82.0,Broken clouds,70505
29.0,84.0,Scattered clouds,71372
29.0,84.0,Fog,71974
29.0,84.0,Fog,72575
29.0,84.0,Fog,73176
29.0,84.0,Fog,73778
29.0,84.0,Fog,74381
29.0,84.0,Fog,74982
29.0,84.0,Fog,75584
29.0,83.0,Fog,76185
29.0,83.0,Fog,76787
29.0,84.0,Fog,77388
29.0,84.0,Fog,77991
29.0,84.0,Heavy rain,78592
29.0,84.0,Heavy rain,79194
29.0,84.0,Heavy rain,79795
29.0,85.0,Heavy rain,80396
29.0,86.0,Heavy rain,80997
28.0,87.0,Heavy rain,81599
28.0,87.0,Moderate rain,82201
28.0,85.0,Moderate rain,82802
28.0,85.0,Moderate rain,83404
28.0,84.0,Moderate rain,84006
28.0,84.0,Overcast clouds,84607
28.0,84.0,Overcast clouds,85208
28.0,85.0,Moderate rain,85810
28.0,85.0,Moderate rain,11
28.0,86.0,Moderate rain,612
28.0,86.0,Heavy rain,1213
28.0,87.0,Heavy rain,1814
28.0,86.0,Heavy rain,2415
28.0,85.0,Heavy rain,3016
28.0,85.0,Heavy rain,3617
28.0,86.0,Moderate rain,4218
28.0,86.0,Moderate rain,4819
28.0,86.0,Light rain,5420
28.0,85.0,Moderate rain,6021
28.0,84.0,Light rain,6622
