,temperature,humidity,weather_description
0,27.0,92,Light rain
1,27.0,90,Light rain
2,27.0,88,Light rain
3,27.0,88,Light rain
4,27.0,88,Light rain
5,27.0,88,Light rain
6,27.0,88,Light rain
7,27.0,88,Light rain
8,27.0,88,Light rain
9,26.5,91,Light rain
10,26.0,94,Light rain
11,26.0,94,Light rain
12,26.0,94,Light rain
13,26.0,94,Light rain
14,26.0,94,Light rain
15,26.5,91,Haze
16,27.0,88,Haze
17,27.0,88,Haze
18,27.0,88,Haze
19,27.0,88,Haze
20,27.0,88,Haze
21,26.5,91,Haze
22,26.0,94,Haze
23,26.0,94,Haze
24,26.0,94,Haze
25,26.0,94,Light rain
26,26.0,94,Light rain
27,26.0,94,Light rain
28,26.0,94,Light rain
29,26.0,94,Light rain
30,26.0,94,Light rain
31,26.0,94,Light rain
32,26.0,94,Light rain
33,26.0,94,Light rain
34,26.0,94,Light rain
35,26.5,93,Light rain
36,27.0,93,Light rain
37,27.0,93,Light rain
38,27.0,94,Haze
39,27.0,94,Haze
40,27.0,94,Haze
41,26.0,94,Haze
42,25.0,94,Haze
43,25.0,94,Haze
44,25.0,94,Haze
45,25.5,91,Haze
46,26.0,88,Haze
47,25.8,91,Overcast clouds
48,25.6,94,Overcast clouds
49,25.8,94,Overcast clouds
50,26.0,94,Haze
51,26.0,94,Haze
52,26.0,94,Haze
53,26.5,94,Haze
54,27.0,94,Haze
55,27.5,94,Haze
56,28.0,94,Haze
57,28.5,94,Haze
58,29.0,94,Overcast clouds
59,28.7,90,Overcast clouds
60,28.4,86,Overcast clouds
61,28.7,87,Overcast clouds
62,29.0,88,Overcast clouds
63,29.5,86,Overcast clouds
64,30.0,84,Overcast clouds
65,29.5,83,Overcast clouds
66,29.0,83,Haze
67,28.5,86,Haze
68,28.0,88,Haze
69,28.0,88,Overcast clouds
70,28.0,88,Overcast clouds
71,27.5,91,Overcast clouds
72,27.0,93,Overcast clouds
73,27.5,88,Overcast clouds
74,28.0,83,Overcast clouds
75,28.0,83,Overcast clouds
76,28.0,83,Overcast clouds
77,27.5,86,Broken clouds
78,27.0,88,Broken clouds
79,27.0,88,Broken clouds
80,27.0,88,Broken clouds
81,27.0,88,Broken clouds
82,27.0,88,Broken clouds
83,26.6,91,Light rain
84,26.2,93,Light rain
85,26.6,91,Light rain
86,27.0,88,Light rain
87,26.5,88,Light rain
88,26.0,88,Haze
89,26.0,88,Haze
90,26.0,88,Haze
91,26.0,91,Haze
92,26.0,94,Haze
93,26.0,94,Haze
94,26.0,94,Haze
95,25.9,96,Overcast clouds
96,25.8,98,Fog
97,25.9,96,Overcast clouds
98,26.0,94,Haze
99,26.0,94,Light rain
100,26.0,94,Light rain
101,26.0,94,Light rain
102,26.0,94,Light rain
103,26.0,91,Light rain
104,26.0,88,Light rain
105,26.0,88,Light rain
106,26.0,88,Haze
107,25.6,93,Broken clouds
108,25.2,98,Light rain
109,25.6,93,Light rain
110,26.0,88,Light rain
111,26.0,91,Light rain
112,26.0,94,Light rain
113,26.0,94,Light rain
114,26.0,94,Light rain
115,26.0,94,Light rain
116,26.0,94,Light rain
117,26.0,94,Light rain
118,26.0,94,Haze
119,25.7,95,Overcast clouds
120,25.4,96,Light rain
121,25.7,92,Overcast clouds
122,26.0,88,Haze
123,26.0,88,Light rain
124,26.0,88,Light rain
125,26.0,88,Light rain
126,26.0,88,Light rain
127,26.0,88,Light rain
128,26.0,88,Light rain
129,26.0,91,Light rain
130,26.0,94,Light rain
131,25.8,94,Light rain
132,25.6,94,Overcast clouds
133,25.8,94,Overcast clouds
134,26.0,94,Overcast clouds
135,26.0,94,Overcast clouds
136,26.0,94,Overcast clouds
137,26.5,94,Overcast clouds
138,27.0,94,Overcast clouds
139,27.0,94,Overcast clouds
140,27.0,94,Overcast clouds
141,27.5,91,Overcast clouds
142,28.0,88,Overcast clouds
143,28.3,86,Overcast clouds
144,28.6,83,Broken clouds
145,28.8,86,Overcast clouds
146,29.0,88,Overcast clouds
